bucket,menu,faq_amounts,json_menu_amounts,amounts_not_in_json,sheet,question,answer
C_要確認,(不明),2800,,,faq,シミの美容相談ではどんな特典がありますか？,"シミのお悩みで無料美容相談を受けた後に、シミ治療を受けられた方にはクレンジング1本（2,800円相当）をプレゼントいたします。ぜひこの機会に無料美容相談をご利用ください。美容相談の予約はWEB予約サイト、LINE、またはお電話（050-8882-5800）で承っています。 ・ WEB予約 こちらからご予約ください （（https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk） ・ LINE予約 こちらからご予約ください （（https://page.line.me/epg9453r）） ・お電話 📞 050-8882-5800 ※電話受付時間：月～水・金～日曜日／9:00～13:00、14:00～17:45（木曜日休診）"
C_要確認,(不明),2800,,,faq,シミ治療を受けるとどんなプレゼントがありますか？,"シミに関する無料美容相談を受けた後に、シミ治療を受けられた方にはクレンジング1本（2,800円相当）をプレゼントしております。プレゼントは以下の対象施術を受けた方が対象です。"
C_要確認,(不明),3300,,,faq,チケットコース利用時にキャンセルした場合はどうなりますか？,"回数チケットをご利用の方が当日キャンセルされた場合、1回分消化扱いではなくキャンセル料（3,300円）をお支払いいただきます。前日までのキャンセル・変更であればキャンセル料は発生しません。"
C_要確認,(不明),3300,,,faq,ダーマペンをキャンセルしたいです,"ダーマペンのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※チャットやメールでのキャンセルは承っておりません。"
C_要確認,(不明),3300,,,faq,クールシェーピングをキャンセルしたいです,"クールシェーピング（新規受付終了）のキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※現在、新規のご予約は承っておりません。※チャットやメールでのキャンセルは承っておりません。"
C_要確認,(不明),880 3300,,,faq,初診料はいくらですか？,"自費診療の初診料は3,300円（税込）です。再診料は880円（税込）となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
C_要確認,(不明),4950 5800 10890 11500 32890,,,faq,トレチノインやしみ取りクリームの料金を教えてください。,"トレチノイン（0.05%・0.025%）は11,500円、トレチノインゲル（0.1%・0.4%）は各5,800円、しみ取りクリームは1個4,950円・3個セット10,890円・10個セット32,890円（税込）です。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
A_価格欠落,赤ら顔治療,20000 54000 59000 80000 99000 198000,,,faq,フォトの料金を教えてください。/光治療はいくらですか？,"AdeBクリニックのフォト治療（光治療）は、照射範囲と回数によって料金が異なります。【全顔】1回20,000円、3回セット54,000円、5回セット80,000円。【赤ら顔治療（全顔）】10回セット198,000円。【赤ら顔治療（両ほほ）】10回セット99,000円。【赤ら顔治療（片ほほ相当範囲）】10回セット59,000円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
C_要確認,(不明),8800 13200,,,faq,あざレーザーの料金を教えてください。/ADMはいくらですか？,"ADM治療は両ほほ13,200円、両こめかみ8,800円です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
B_JSON未登録金額,イボレーザー,880 1300 3300 7000 13500 19800,7000 13500 19800,1300,faq,イボレーザー治療はいくらですか？／炭酸ガスレーザーの料金を教えてください/イボ取りの料金はいくらですか／イボを取るといくらかかりますか／イボ除去の料金を教えてください/炭酸ガスレーザーはいくら？/イボレーザーはいくら？,"イボレーザー（炭酸ガスレーザー）の料金（税込）は、直径2mm未満3個まで7,000円、直径5mm未満1個7,000円、直径10mm未満1個13,500円、直径15mm未満1個19,800円となります。16mm以上は長径mm×1,300円です。目元のイボは2mm未満でも1個あたり7,000円となります。別途初診料3,300円・再診料880円および麻酔代がかかります。詳しくはこちらからご確認いただけます → https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk"
B_JSON未登録金額,(不明),3300 90200 349200,,90200,faq,HARG療法の料金を教えてください。/ハーグ療法の料金を教えてください。,"HARG療法は1回90,200円、6回セット349,200円です。笑気麻酔は別途3,300円となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
C_要確認,(不明),1020,,,faq,エキシマライト治療はいくらですか？,"エキシマライトは保険診療で3割負担の場合1,020円前後です。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。"
B_JSON未登録金額,(不明),100 500,,100 500,faq,駐車料金はいくらですか？,なかいち駐車場は30分まで無料、以降1時間ごとに100円です。夜間（16時〜翌10時）は最大500円となります。詳しくは料金案内（https://www.adeb.com/parking/?utm_source=ai&utm_medium=sugudesk）をご確認ください。
