question,answer,category,keywords
スマートサイドドット（初回）とハイドラジェントルの間隔／スマートサイドドット（初回）とハイドラジェントルの間隔は何週間ですか？／スマートサイドドット（初回）の後にハイドラジェントルはどのくらい空けますか？／スマートサイドドット（初回）とハイドラジェントルはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからハイドラジェントルまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にハイドラジェントルはいつ受けられますか？／スマートサイドドット（初回）とハイドラジェントルは同日にできますか？,スマートサイドドット（初回）とハイドラジェントルは、別の部位であれば原則として同日に受けられます。同じ部位にハイドラジェントルを受ける場合は2週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,ハイドラジェントル,スマサイ,スマートサイドドット,ハイドラ,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とケミカルピーリングの間隔／スマートサイドドット（初回）とケミカルピーリングの間隔は何週間ですか？／スマートサイドドット（初回）の後にケミカルピーリングはどのくらい空けますか？／スマートサイドドット（初回）とケミカルピーリングはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからケミカルピーリングまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にケミカルピーリングはいつ受けられますか？／スマートサイドドット（初回）とケミカルピーリングは同日にできますか？,スマートサイドドット（初回）とケミカルピーリングは、別の部位であれば原則として同日に受けられます。同じ部位にケミカルピーリングを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,ケミカルピーリング,スマサイ,スマートサイドドット,ピーリング,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とスマートサイドドット（2回目以降）の間隔／スマートサイドドット（初回）とスマートサイドドット（2回目以降）の間隔は何週間ですか？／スマートサイドドット（初回）の後にスマートサイドドット（2回目以降）はどのくらい空けますか？／スマートサイドドット（初回）とスマートサイドドット（2回目以降）はどのくらい間隔をあけますか？／スマートサイドドット（初回）してからスマートサイドドット（2回目以降）まではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にスマートサイドドット（2回目以降）はいつ受けられますか？／スマートサイドドット（初回）とスマートサイドドット（2回目以降）は同日にできますか？,スマートサイドドット（初回）とスマートサイドドット（2回目以降）は、別の部位であれば原則として同日に受けられます。同じ部位にスマートサイドドット（2回目以降）を受ける場合は4週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,スマートサイドドット（2回目以降）,スマサイ,スマートサイドドット,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とスマートサイドドット（初回）の間隔／スマートサイドドット（初回）とスマートサイドドット（初回）の間隔は何週間ですか？／スマートサイドドット（初回）の後にスマートサイドドット（初回）はどのくらい空けますか？／スマートサイドドット（初回）とスマートサイドドット（初回）はどのくらい間隔をあけますか？／スマートサイドドット（初回）してからスマートサイドドット（初回）まではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にスマートサイドドット（初回）はいつ受けられますか？／スマートサイドドット（初回）とスマートサイドドット（初回）は同日にできますか？,スマートサイドドット（初回）を続けて（同じ部位に）受ける場合は4週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,スマサイ,スマートサイドドット,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とイボレーザー/CO2レーザーの間隔／スマートサイドドット（初回）とイボレーザー/CO2レーザーの間隔は何週間ですか？／スマートサイドドット（初回）の後にイボレーザー/CO2レーザーはどのくらい空けますか？／スマートサイドドット（初回）とイボレーザー/CO2レーザーはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからイボレーザー/CO2レーザーまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にイボレーザー/CO2レーザーはいつ受けられますか？／スマートサイドドット（初回）とイボレーザー/CO2レーザーは同日にできますか？,スマートサイドドット（初回）とイボレーザー/CO2レーザーは、別の部位であれば原則として同日に受けられます。同じ部位にイボレーザー/CO2レーザーを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,イボレーザー/CO2レーザー,スマサイ,スマートサイドドット,炭酸ガスレーザー,CO2レーザー,イボ取り,いぼレーザー,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とシミ取りレーザーの間隔／スマートサイドドット（初回）とシミ取りレーザーの間隔は何週間ですか？／スマートサイドドット（初回）の後にシミ取りレーザーはどのくらい空けますか？／スマートサイドドット（初回）とシミ取りレーザーはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからシミ取りレーザーまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にシミ取りレーザーはいつ受けられますか？／スマートサイドドット（初回）とシミ取りレーザーは同日にできますか？,スマートサイドドット（初回）とシミ取りレーザーは、別の部位であれば原則として同日に受けられます。同じ部位にシミ取りレーザーを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,シミ取りレーザー,スマサイ,スマートサイドドット,シミレーザー,シミ取り,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とADM/ピコレーザの間隔／スマートサイドドット（初回）とADM/ピコレーザの間隔は何週間ですか？／スマートサイドドット（初回）の後にADM/ピコレーザはどのくらい空けますか？／スマートサイドドット（初回）とADM/ピコレーザはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからADM/ピコレーザまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にADM/ピコレーザはいつ受けられますか？／スマートサイドドット（初回）とADM/ピコレーザは同日にできますか？,スマートサイドドット（初回）とADM/ピコレーザは、別の部位であれば原則として同日に受けられます。同じ部位にADM/ピコレーザを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,ADM/ピコレーザ,スマサイ,スマートサイドドット,ADMレーザー,ピコレーザー,ADM,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とADM/ナノレーザーの間隔／スマートサイドドット（初回）とADM/ナノレーザーの間隔は何週間ですか？／スマートサイドドット（初回）の後にADM/ナノレーザーはどのくらい空けますか？／スマートサイドドット（初回）とADM/ナノレーザーはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからADM/ナノレーザーまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にADM/ナノレーザーはいつ受けられますか？／スマートサイドドット（初回）とADM/ナノレーザーは同日にできますか？,スマートサイドドット（初回）とADM/ナノレーザーは、別の部位であれば原則として同日に受けられます。同じ部位にADM/ナノレーザーを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,ADM/ナノレーザー,スマサイ,スマートサイドドット,ADMレーザー,ナノレーザー,ADM,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とレーザートーニングの間隔／スマートサイドドット（初回）とレーザートーニングの間隔は何週間ですか？／スマートサイドドット（初回）の後にレーザートーニングはどのくらい空けますか？／スマートサイドドット（初回）とレーザートーニングはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからレーザートーニングまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にレーザートーニングはいつ受けられますか？／スマートサイドドット（初回）とレーザートーニングは同日にできますか？,スマートサイドドット（初回）とレーザートーニングは、別の部位であれば原則として同日に受けられます。同じ部位にレーザートーニングを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,レーザートーニング,スマサイ,スマートサイドドット,トーニング,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
スマートサイドドット（初回）とピコトーニングの間隔／スマートサイドドット（初回）とピコトーニングの間隔は何週間ですか？／スマートサイドドット（初回）の後にピコトーニングはどのくらい空けますか？／スマートサイドドット（初回）とピコトーニングはどのくらい間隔をあけますか？／スマートサイドドット（初回）してからピコトーニングまではどのくらい期間をあけたらいいですか？／スマートサイドドット（初回）の後にピコトーニングはいつ受けられますか？／スマートサイドドット（初回）とピコトーニングは同日にできますか？,スマートサイドドット（初回）とピコトーニングは、別の部位であれば原則として同日に受けられます。同じ部位にピコトーニングを受ける場合は3週間あけてください。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"スマートサイドドット（初回）,ピコトーニング,スマサイ,スマートサイドドット,トーニング,ピコ,間隔,空ける,あける,期間,どのくらい,どれくらい,何週間,何日あける,同日,してから,次の施術"
