question_clean,answer_clean,category,keywords
ハイドラジェントルの後にハイドラジェントルはどのくらいあけますか／ハイドラジェントルの後にハイドラジェントルはいつ受けられますか,ハイドラジェントルの後にハイドラジェントル（同じ部位）を受ける場合、2～4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,ハイドラジェントル,施術間隔,次の施術,間隔"
ケミカルピーリングの後にハイドラジェントルはどのくらいあけますか／ケミカルピーリングの後にハイドラジェントルはいつ受けられますか,ケミカルピーリングの後にハイドラジェントル（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※ピーリングは顔4週間（医師指示で2週間の場合あり）・背中3週間・その他2週間／面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,ケミカルピーリング,ハイドラジェントル,施術間隔,次の施術,間隔"
スマートサイドドット（2回目以降）の後にハイドラジェントルはどのくらいあけますか／スマートサイドドット（2回目以降）の後にハイドラジェントルはいつ受けられますか,スマートサイドドット（2回目以降）の後にハイドラジェントル（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（2回目以降）,ハイドラジェントル,施術間隔,次の施術,間隔"
スマートサイドドット（初回）の後にハイドラジェントルはどのくらいあけますか／スマートサイドドット（初回）の後にハイドラジェントルはいつ受けられますか,スマートサイドドット（初回）の後にハイドラジェントル（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,スマートサイドドット,スマートサイドドット（初回）,ハイドラジェントル,施術間隔,次の施術,間隔"
イボレーザー/CO2レーザーの後にハイドラジェントルはどのくらいあけますか／イボレーザー/CO2レーザーの後にハイドラジェントルはいつ受けられますか,イボレーザー/CO2レーザーの後にハイドラジェントル（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可／CO2は初回治療は4週間あけます（色素沈着・傷跡の確認のため）,施術間隔,"CO2レーザー,あける,いつ,イボレーザー,ハイドラジェントル,施術間隔,次の施術,間隔"
シミ取りレーザーの後にハイドラジェントルはどのくらいあけますか／シミ取りレーザーの後にハイドラジェントルはいつ受けられますか,シミ取りレーザーの後にハイドラジェントル（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,シミ取りレーザー,ハイドラジェントル,施術間隔,次の施術,間隔"
ADM/ピコレーザの後にハイドラジェントルはどのくらいあけますか／ADM/ピコレーザの後にハイドラジェントルはいつ受けられますか,ADM/ピコレーザの後にハイドラジェントルを受ける場合、ADM/ピコレーザの治療完了後4週間あけてください。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"ADM,あける,いつ,ハイドラジェントル,ピコレーザ,施術間隔,次の施術,間隔"
ADM/ナノレーザーの後にハイドラジェントルはどのくらいあけますか／ADM/ナノレーザーの後にハイドラジェントルはいつ受けられますか,ADM/ナノレーザーの後にハイドラジェントルを受ける場合、ADM/ナノレーザーの治療完了後4週間あけてください。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"ADM,あける,いつ,ナノレーザー,ハイドラジェントル,施術間隔,次の施術,間隔"
レーザートーニングの後にハイドラジェントルはどのくらいあけますか／レーザートーニングの後にハイドラジェントルはいつ受けられますか,レーザートーニングの後にハイドラジェントル（同じ部位）を受ける場合、1週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です／面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,ハイドラジェントル,レーザートーニング,施術間隔,次の施術,間隔"
ピコトーニングの後にハイドラジェントルはどのくらいあけますか／ピコトーニングの後にハイドラジェントルはいつ受けられますか,ピコトーニングの後にハイドラジェントル（同じ部位）を受ける場合、2週間あけてください。別の部位であれば同日に受けられます。 ※トーニングは1〜5回目は週1回、6回目以降は月1回が目安です／面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,ハイドラジェントル,ピコトーニング,施術間隔,次の施術,間隔"
ピコフラクショナルの後にハイドラジェントルはどのくらいあけますか／ピコフラクショナルの後にハイドラジェントルはいつ受けられますか,ピコフラクショナルの後にハイドラジェントル（同じ部位）を受ける場合、3週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,ハイドラジェントル,ピコフラクショナル,施術間隔,次の施術,間隔"
そばかすシャワーの後にハイドラジェントルはどのくらいあけますか／そばかすシャワーの後にハイドラジェントルはいつ受けられますか,そばかすシャワーの後にハイドラジェントル（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可,施術間隔,"あける,いつ,そばかすシャワー,ハイドラジェントル,施術間隔,次の施術,間隔"
そばかすスポットの後にハイドラジェントルはどのくらいあけますか／そばかすスポットの後にハイドラジェントルはいつ受けられますか,そばかすスポットの後にハイドラジェントル（同じ部位）を受ける場合、4週間あけてください。別の部位であれば同日に受けられます。 ※面の治療との併用は初回は同日不可（2回目以降は同日可、ハイドラ先）。局所治療との併用は初回から同日可／取り残しは3週間以内、それ以外は3ヶ月以上あけます,施術間隔,"あける,いつ,そばかすスポット,ハイドラジェントル,施術間隔,次の施術,間隔"
