No,型（確定）,診療科・外来・センター名,午前一般外来,予約表記の根拠（判明分）,更新するエンティティ（ページ／機能）,更新内容,状態
1,R,リウマチ・膠原病内科,なし（午後14:00-16:00のみ）,担当表「午後のみ・予約制」／先方「事前予約制」,診療科「リウマチ・膠原病内科」overview＋FAQ,R予約ブロック（予約必須・紹介状あり地域連携室／なし予約センター）＋FAQ,初診・紹介状なしの経路 要確認
2,M,呼吸器外科,あり,担当表「午前あり＋午後予約制」,診療科「呼吸器外科」overview＋FAQ,M予約ブロック（午前一般外来へ・専門枠は受診後予約）＋FAQ,確定（午前あり）
3,M,眼科,あり,担当表「午前あり＋午後予約制／予約のみ」,診療科「眼科」overview＋FAQ,M予約ブロック＋FAQ,確定（午前あり）
4,M,小児科 専門外来・1ヶ月健診,あり,担当表「午前あり／専門外来は予約のみ」,診療科「小児科」overview＋FAQ,M予約ブロック（専門外来は受診後予約）＋FAQ,確定（午前あり）
5,M,甲状腺超音波外来,あり（親科=内分泌・糖尿病内科）,ページ「予約制」／親科に午前一般外来,診療メニュー「甲状腺超音波外来」or 内分泌・糖尿病内科overview＋FAQ,M予約ブロック（まず内分泌・糖尿病内科の午前外来へ）＋FAQ,確定（親科午前あり）
6,M,透析予防外来,あり（親科=腎臓内科）,担当表「完全予約制」／腎臓内科に午前あり,診療科「腎臓内科」overview＋FAQ,M予約ブロック（まず腎臓内科の午前外来へ）＋FAQ,確定（先方例示）
7,M,腎代替療法選択外来,あり（親科=腎臓内科）,担当表「完全予約制」,腎臓内科overview＋FAQ,同上（腎臓内科のM案内に統合可）,確定
8,M,高血圧専門医外来,あり（親科=腎臓内科）,担当表「完全予約制」,腎臓内科overview＋FAQ,同上（統合可）,確定
9,M,シャント外来,あり（親科=腎臓内科）,担当表「完全予約制」,腎臓内科overview＋FAQ,同上（統合可）,確定
10,M,内視鏡検査,あり（親科=消化器内科）,担当表「午前・午後予約制」,内視鏡センター／消化器内科overview＋FAQ,M予約ブロック（受診後に医師が予約）＋FAQ,確定（親科午前あり）
11,M,IBD外来,あり（親科=消化器内科）,担当表「午後予約制」,消化器内科overview／診療メニュー＋FAQ,M予約ブロック＋FAQ,確定（親科午前あり）
12,M,膵臓・胆道疾患外来,あり（親科=消化器内科）,担当表「午後予約制」,消化器内科overview／診療メニュー＋FAQ,M予約ブロック＋FAQ,確定（親科午前あり）
13,M,肝臓内科,あり（午前9:00-12:00）,担当表「午前あり＋午後予約制」,診療科「肝臓内科」overview＋FAQ,M予約ブロック＋FAQ,確定（午前あり）
14,M,整形外科 脊髄・脊椎外来,あり（親科=整形外科）,担当表「予約のみ」,整形外科overview／診療メニュー＋FAQ,M予約ブロック＋FAQ,確定（親科午前あり）
15,M,脳神経内科（専門枠・予約紹介のみ）,あり,担当表「午前あり＋午後予約制／予約・紹介のみ」,診療科「脳神経内科」overview＋FAQ,M予約ブロック（紹介ありは地域連携室）＋FAQ,確定（午前あり）
16,M,肥満症治療外来,あり（親科=内分泌・糖尿病内科）,担当表「当日のみ」,肥満症センター／内分泌・糖尿病内科overview＋FAQ,当日受診案内（予約不要・午前来院）＋FAQ,確定（午前あり）
17,M,血液内科（専門枠）,あり,担当表「午前あり＋予約のみ枠」,診療科「血液内科」overview＋FAQ,M予約ブロック＋FAQ,確定（午前あり）
18,M,泌尿器科（専門枠）,あり,担当表「午前あり＋予約のみ枠」,診療科「泌尿器科」overview＋FAQ,M予約ブロック＋FAQ,確定（午前あり）
19,M,産科 産褥検診,あり（親科=産科）,先方「予約のみ」／産科に午前あり,診療科「産科」overview＋FAQ,M予約ブロック（産科受診後に案内）＋FAQ,確定（親科午前あり）
20,W,産科 初診,―,ページ「初診はWEB予約（24時間）」,産科overview／診療メニュー「妊婦健診」＋FAQ,W予約ブロック（WEB予約URL）＋FAQ,確定（W）
21,W,歯科口腔外科（紹介状あり）,あり,ページ「紹介状ありに限りWEB予約」,歯科口腔外科overview＋FAQ,W予約ブロック（WEB予約・紹介状条件）＋FAQ,確定（W）
22,T,メディカルサポートセンター（人間ドック・検診）,―,先方「専用窓口」,メディカルサポートセンターoverview＋FAQ,T予約ブロック（専用窓口）＋FAQ,専用番号・URL 要確認
23,X,精神科,―,ページ「新規外来予約は受付なし（主に入院）」,応答ルール「精神科の新規外来受付について」（既存）,既存応答ルールで対応（新規登録不要）,確定（X）
24,要確認,NIPT外来,―（土9-12予約制）,ページ「予約制（通院中は受診時／他院は紹介状＋地域連携室）」,産科／NIPT外来overview＋FAQ,予約制・専用フロー（受診時 or 地域連携室）＋FAQ,型 要確認（R/専用）
25,要確認,肛門外科,判定不能（抽出崩れ）,担当表の午前/午後 抽出できず,診療科「肛門外科」,担当表精読で午前枠確認後に型確定,要担当表確認
26,L1,外来の予約について（全体導線）,―,先方公式「診察のご予約」ページ,応答ルール「外来の予約について」（新規1件）,初診/再診/紹介状の全導線＋番号を一元登録,確定（本文提示済）
27,N,上記以外の一般外来,あり,予約表記なし=デフォルト,個別登録不要,デフォルト「予約不要・診療時間内来院」,確定（登録不要）
