json_question,json_answer,faq_question,faq_answer,similarity
支払い方法を教えてください,現金、クレジットカード一括払いがご利用いただけます。医療ローンもご用意しています,会員コースの支払い方法を教えてください／会員コースの支払いはどうすればいいですか,会員コースの利用料は毎月前払いとなります。お支払いは秋田銀行指定口座よりお引き落としとなります。詳しくはスタッフまでお問い合わせください。,0.00
未成年も受診可能ですか？,はい、受診可能です。ただし施術を受ける場合、18歳未満は保護者の同意が必要となります。保護者の方も一緒にご来院をお願いします,未成年も受診可能ですか？,はい、受診可能です。ただし施術を受ける場合、18歳未満は保護者の方の同意が必要となります。保護者の方も一緒にご来院をお願いします。,0.90
メイクはしていかない方が良いですか？,クリニック内に洗顔ブースがあるため、メイクをしてきていただいてもかまいません,メイクはしていかない方が良いですか？,クリニック内に洗顔ブースがございますので、メイクはしてきていただいてもかまいません。,0.48
診察代は別途かかりますか？,"自由診療の場合、初診料3,300円、再診料880円となります",診察代は別途かかりますか？,"自由診療の場合、初診料3,300円、再診料880円となります。詳しくは料金ページ（https://www.adeb.com/ryokin/%e3%82%a2%e3%83%bc%e3%83%87%e3%83%bb%e3%83%99%e3%83%bc%e3%82%af%e3%83%aa%e3%83%8b%e3%83%83%e3%82%af%e7%a7%8b%e7%94%b0%e9%99%a2/?utm_source=ai&utm_medium=sugudesk）をご確認ください。",0.15
一般皮膚科診療は毎日おこなっていますか？,一般皮膚科診療は基本的に毎週火曜日の午前中のみとなっており、現在再診の患者様のみとさせていただいております,一般皮膚科診療は毎日おこなっていますか？,一般皮膚科診療は基本的に毎週火曜日の午前中のみとなっており、現在は再診の患者様のみとさせていただいております。,0.85
治療や施術を受けられない場合はありますか？,治療中のご病気や内服しているお薬などがある場合、医師の判断により治療や施術を受けられない場合があります。また、妊娠中・授乳中は受けられない治療・施術がございます。詳しくはお電話にてお問い合わせください,治療や施術を受けられない場合はありますか？,治療中のご病気や内服しているお薬などがある場合、医師の判断により治療や施術を受けられない場合があります。また、妊娠中・授乳中は受けられない施術もございます。詳しくはお電話にてお問い合わせください。,0.84
事前予約は必要ですか？,お電話で事前にご予約いただく必要がある施術と、直接ご来院いただける施術の両方がございます。詳しくは予約ページをご覧ください,AdeBクリニックの予約は必要ですか？/予約は必要ですか？/予約はいる？/事前予約は必要ですか？,当院は一部メニューを除き、完全予約制となっております。ご希望の治療内容と注意事項をご確認のうえ、事前にご予約をお願いいたします。ご予約がない場合、待ち時間が長くなったり、施術をお受けできない場合がございます。,0.05
保険診療で受診可能ですか？,はい、保険診療のメニューもございます。ただしすべてのメニューが保険適用というわけではなく、自由診療のメニューもございます,保険診療で受診可能ですか？,はい、保険診療のメニューもございます。ただしすべてのメニューが保険適用というわけではなく、自由診療メニューもございます。詳しくは保険診療メニューをご覧ください。,0.69
眉間のボトックスはおおよそ何ポイントですか？,必要なポイント数は医師が診察時に判断いたしますため、明確にお答えできかねます。ご了承ください,眉間のボトックスはおおよそ何ポイントですか？,必要なポイント数は医師が診察時に判断いたしますため、明確にお答えできかねます。ご了承ください。,0.98
ボトックス治療の料金表にある「1ポイント」というのは1箇所という意味ですか？,ボトックスの「ポイント」は当院で導入しているボトックスの単位を表しています。1箇所という意味ではありません,(FAQシートに重複なし),,
全身脱毛を契約した当日に施術を受けることは可能ですか？,基本的に全身脱毛ご契約当日は診察までとなります,全身脱毛を契約した当日に施術を受けることは可能ですか？,基本的に全身脱毛ご契約当日は診察までとなります。施術は後日の予約で行います。,0.57
医療脱毛を受けたいが、初回は予約が必要ですか？,初回は診察までとなり、ご予約が必要です,医療脱毛を受けたいが、初回は予約が必要ですか？,はい、初回は診察までとなり、ご予約が必要です。WEBまたはお電話（050-8882-5800）からご予約ください。,0.30
なかいち立体駐車場の入口はどこですか？,なかいち商業施設の中央通り沿いに入り口があります。左側にローソンがある交差点を過ぎて、次の信号を越える（ローソンから約300m）と、左側になかいち駐車場入り口があります,なかいち立体駐車場の入口はどこですか？,なかいち商業施設の中央通り沿いに入り口がございます。左側にローソンがある交差点を過ぎて次の信号を越えると、左側になかいち駐車場入り口があります。,0.64
駐車場は近くにありますか？,はい、クリニックの入っている「なかいち商業施設」の敷地内になかいち駐車場（収容台数507台）があります。秋田市商店街共通駐車券にも加盟しています,(FAQシートに重複なし),,
