種別,FAQ質問,現状,推奨,直し方
電話番号(予約に5880),バニーラインのボトックスを予約したい／あごのボトックスを予約したい／口の上のボトックスを予約したい／口角下制筋のボトックスを予約したい,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
価格矛盾(HARG),HARG療法の料金を教えてください。/ハーグ療法の料金を教えてください。,"6回セット 349,200円","343,200円に統一","answer内 349,200円→343,200円。根拠:90,200×6−198,000=343,200"
価格矛盾(イボ・旧価格),イボレーザー治療の料金を教えてください。/炭酸ガスレーザーはいくらですか？,"2mm未満3個6,500/13,000/19,500円","7,000/13,500/19,800円に統一","旧価格。JSONマスタ・他FAQ多数が7,000/13,500/19,800"
価格矛盾(イボ・旧価格),目元のイボの料金はいくらですか？,"2mm未満3個6,500/13,000/19,500円","7,000/13,500/19,800円に統一","旧価格。JSONマスタ・他FAQ多数が7,000/13,500/19,800"
価格矛盾(HARG),薄毛治療の料金を教えてください。,"6回セット 349,200円","343,200円に統一","answer内 349,200円→343,200円。根拠:90,200×6−198,000=343,200"
電話番号(予約に5880),Lマドンナはどうやって予約すればいいですか／Lマドンナの予約方法を教えてください,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),アートメイクの予約方法を教えてください／アートメイクは空いていますか／アートメイクの空き状況を知りたい/眉タトゥーの予約,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
価格矛盾(イボ・旧価格),体のイボ取り料金はいくらですか／背中のイボ1つを取りたい場合の料金は,"2mm未満3個6,500/13,000/19,500円","7,000/13,500/19,800円に統一","旧価格。JSONマスタ・他FAQ多数が7,000/13,500/19,800"
電話番号(予約に5880),そばかす・シミのカウンセリングを受けたいのですが／シミの相談だけでも来院できますか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),ほくろの診察と治療は同日にできますか／ほくろを診てもらってそのまま取ってもらえますか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),ほくろの診察と治療を別の日にすることはできますか／診察だけ先にしてもらえますか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),以前受診して薬を処方されました。次回は予約なしで大丈夫ですか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),初めての受診の場合、マイページのIDは自分で設定しますか／初診のWEB予約のIDはどうすればいいですか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),眉のアートメイクはありますか/眉タトゥーはありますか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),ほくろのレーザー除去は1回に何個まで取れますか,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
電話番号(予約に5880),口の上のボトックスはいくらですか／口周りのボトックス料金を教えてください,予約案内に 050-8882-5880,受付確認の上 050-8882-5800 に統一,予約専用は5800。answer内の番号を置換
