No,区分,診療科・外来・センター名,HP上の予約に関する記載（現時点で判明分）,診療日時（判明分）,受付場所（判明分）,【要確認】初診の予約要否,【要確認】再診の予約要否,【要確認】予約先（予約センター／地域連携室／WEB／各科窓口）,【要確認】備考（対象条件・紹介状要否など）
1,内科系,消化器内科,午前は当日受付あり／午後(IBD・膵胆道)は予約制／土曜は「予約不可(初診のみ)」の注記あり,午前9:00-12:00 ほか午後予約制,,,,,
2,内科系,肝臓内科,午後は予約制(14:00-15:30),午前9:00-12:00／午後予約制,,,,,
3,内科系,血液内科,記載なし(要確認),午前9:00-12:00,,,,,
4,内科系,呼吸器内科,記載なし(要確認),午前9:00-12:00,,,,,
5,内科系,循環器内科,記載なし(要確認),午前9:00-12:00,,,,,
6,内科系,内分泌・糖尿病内科,記載なし(要確認),午前9:00-12:00,,,,,
7,専門外来,甲状腺超音波外来,「予約制」と明記,月・火・水・金 14:00-15:00(祝日・年末年始除く),B棟2階(受付O),,,,初診の予約可否がHP未記載
8,専門外来,肥満症治療外来,午前「当日のみ」の注記あり,午前9:00-12:00(当日のみ),,,,,
9,内科系,脳神経内科,記載なし(要確認),午前9:00-12:00,,,,,
10,内科系,リウマチ・膠原病内科,午後診療あり(事前予約制),午前＋午後(予約制),,,,,
11,内科系,腎臓内科,記載なし(要確認),午前9:00-12:00,,,,,
12,内科系,腫瘍内科,記載なし(要確認),午前9:00-12:00,,,,,
13,内科系,小児科,専門外来は「予約のみ」／1ヶ月健診あり,午前＋専門外来(予約制),,,,,
14,内科系,総合内科,記載なし(要確認),午前9:00-12:00,,,,,
15,内科系,一般内科,記載なし(要確認),午前9:00-12:00,,,,,
16,内科系,緩和ケア内科,記載なし(要確認),,,,,,
17,外科系,総合外科,記載なし(要確認),午前9:00-12:00,,,,,
18,外科系,消化器外科,記載なし(要確認),午前9:00-12:00,,,,,
19,外科系,肛門外科,記載なし(要確認),午前9:00-12:00,,,,,
20,外科系,乳腺外科・内分泌外科,記載なし(要確認)／レディース外来あり,午前9:00-12:00,,,,,
21,専門外来,レディース外来(乳腺・形成・婦人科),記載なし(要確認),,,,,,女性医師希望対応との関連
22,外科系,呼吸器外科,午後診療あり(事前予約制),午前＋午後(予約制),,,,,
23,外科系,心臓血管外科,記載なし(要確認),午前9:00-12:00,,,,,
24,外科系,脳神経外科,記載なし(要確認),午前9:00-12:00,,,,,
25,外科系,整形外科,記載なし(要確認),午前9:00-12:00,,,,,
26,専門外来,整形外科 脊髄・脊椎外来,記載なし(要確認),,,,,,
27,外科系,形成外科,記載なし(要確認)／専門外来あり,午前9:00-12:00,,,,,
28,外科系,耳鼻咽喉科・頭頸部外科,記載なし(要確認),午前9:00-12:00,,,,,
29,外科系,泌尿器科,記載なし(要確認),午前9:00-12:00,,,,,
30,外科系,眼科,午後診療あり(事前予約制),午前＋午後(予約制),,,,,
31,外科系,皮膚科,記載なし(要確認),午前9:00-12:00,,,,,
32,外科系,婦人科,記載なし(要確認),午前9:00-12:00,A棟2階(受付I),,,,
33,外科系,産科(産科外来),初診はWEB予約(24時間)／午後は健診枠,午前9:00-12:00 ほか,A棟11階,,,,里帰り入院の電話は平日15:00以降
34,専門外来,無痛分娩外来,無痛分娩教室への参加が必須(要予約),教室:毎月最終週の土曜14:30〜,,,,,2026年1月開始
35,専門外来,NIPT外来,予約制(当院通院中は受診時／他院は紹介状＋地域連携室),土曜9:00-12:00,A棟2階(受付I),,,,
36,専門外来,遺伝診療科,記載なし(要確認),,,,,,
37,その他診療科,歯科口腔外科,紹介状をお持ちの方に限りWEB予約(再診予約・変更・キャンセルはWEB不可),,B棟2階(受付S),,,,
38,その他診療科,精神科,新規外来予約は受付なし(2023年4月時点で予約済の方のみ・主に入院診療),,,,,,新規受診の代替案内先を要確認
