question,answer,category,keywords
フラルスキン（トレチ）の後にハイドラジェントルはいつ受けられますか？／フラルスキン（トレチ）とハイドラジェントルは同日にできますか？／フラルスキン（トレチ）の後にハイドラジェントルは何日あけますか？,ハイドラジェントルでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ハイドラジェントル,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にケミカルピーリングはいつ受けられますか？／フラルスキン（トレチ）とケミカルピーリングは同日にできますか？／フラルスキン（トレチ）の後にケミカルピーリングは何日あけますか？,ケミカルピーリングでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ケミカルピーリング,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にスマートサイドドット（2回目以降）はいつ受けられますか？／フラルスキン（トレチ）とスマートサイドドット（2回目以降）は同日にできますか？／フラルスキン（トレチ）の後にスマートサイドドット（2回目以降）は何日あけますか？,スマートサイドドット（2回目以降）でトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,スマートサイドドット（2回目以降）,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にスマートサイドドット（初回）はいつ受けられますか？／フラルスキン（トレチ）とスマートサイドドット（初回）は同日にできますか？／フラルスキン（トレチ）の後にスマートサイドドット（初回）は何日あけますか？,スマートサイドドット（初回）でトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,スマートサイドドット（初回）,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にイボレーザー/CO2レーザーはいつ受けられますか？／フラルスキン（トレチ）とイボレーザー/CO2レーザーは同日にできますか？／フラルスキン（トレチ）の後にイボレーザー/CO2レーザーは何日あけますか？,イボレーザー/CO2レーザーでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,イボレーザー/CO2レーザー,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にシミ取りレーザーはいつ受けられますか？／フラルスキン（トレチ）とシミ取りレーザーは同日にできますか？／フラルスキン（トレチ）の後にシミ取りレーザーは何日あけますか？,シミ取りレーザーでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,シミ取りレーザー,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にADM/ピコレーザはいつ受けられますか？／フラルスキン（トレチ）とADM/ピコレーザは同日にできますか？／フラルスキン（トレチ）の後にADM/ピコレーザは何日あけますか？,ADM/ピコレーザでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ADM/ピコレーザ,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にADM/ナノレーザーはいつ受けられますか？／フラルスキン（トレチ）とADM/ナノレーザーは同日にできますか？／フラルスキン（トレチ）の後にADM/ナノレーザーは何日あけますか？,ADM/ナノレーザーでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ADM/ナノレーザー,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にレーザートーニングはいつ受けられますか？／フラルスキン（トレチ）とレーザートーニングは同日にできますか？／フラルスキン（トレチ）の後にレーザートーニングは何日あけますか？,レーザートーニングでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,レーザートーニング,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にピコトーニングはいつ受けられますか？／フラルスキン（トレチ）とピコトーニングは同日にできますか？／フラルスキン（トレチ）の後にピコトーニングは何日あけますか？,ピコトーニングでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ピコトーニング,同日,間隔,何日あける,の後に,次の施術"
フラルスキン（トレチ）の後にピコフラクショナルはいつ受けられますか？／フラルスキン（トレチ）とピコフラクショナルは同日にできますか？／フラルスキン（トレチ）の後にピコフラクショナルは何日あけますか？,ピコフラクショナルでトレチノインを使用する場合のみ1週間あけてください（使用しない場合は医師の指示に従ってください）。施術内容やお肌の状態によって前後することがあります。また回答の施術間隔は当院で治療をした方の目安であり、他院で治療をされている場合は直接お電話にてお問い合わせくださいませ。,施術間隔,"フラルスキン（トレチ）,ピコフラクショナル,同日,間隔,何日あける,の後に,次の施術"
