sheet,question,answer
faq,バニーラインのボトックスを予約したい／あごのボトックスを予約したい／口の上のボトックスを予約したい／口角下制筋のボトックスを予約したい,バニーライン・あご・口の上・口角下制筋のボトックス注射はお電話での予約制となります。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）
faq,Lマドンナはどうやって予約すればいいですか／Lマドンナの予約方法を教えてください,Lマドンナのご予約は、スマートサイドドットレーザーの部位としてご選択いただけます。WEB予約サイト、LINE、またはお電話（050-8882-5880）にてご予約ください。詳しくはお気軽にスタッフまでお尋ねください。
faq,アートメイクの予約方法を教えてください／アートメイクは空いていますか／アートメイクの空き状況を知りたい/眉タトゥーの予約,アートメイクは完全予約制となっており、お電話にてご予約を承っております。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）詳しくはこちらからご確認いただけます → https://www.adeb.com/service/artmake/?utm_source=ai&utm_medium=sugudesk
faq,そばかす・シミのカウンセリングを受けたいのですが／シミの相談だけでも来院できますか,シミ・そばかすの診察・診断のみをご希望の場合も予約が必要です。WEB予約・LINE予約・お電話（050-8882-5880）にて「シミの診察・診断まで」をお選びのうえご予約ください。また、当院スタッフによる無料美容相談もご利用いただけます。※無料美容相談はスタッフによるもので、医師の診察・治療は含まれません。医師による診察や治療は後日となります。詳しくはこちらからご確認いただけます → https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk
faq,ほくろの診察と治療は同日にできますか／ほくろを診てもらってそのまま取ってもらえますか,ほくろの診察と治療は同日に行うことが可能です。WEB予約・LINE予約・お電話（050-8882-5880）にて「ほくろ診察・治療」をお選びのうえご予約ください。詳しくはこちらからご確認いただけます → https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk
faq,ほくろの診察と治療を別の日にすることはできますか／診察だけ先にしてもらえますか,ほくろの診察のみ（当日治療を希望されない場合）も予約が可能です。WEB予約・LINE予約・お電話（050-8882-5880）にて「ほくろの診察・診断まで（当日治療希望されない方）」をお選びのうえご予約ください。詳しくはこちらからご確認いただけます → https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk
faq,以前受診して薬を処方されました。次回は予約なしで大丈夫ですか,処方された薬の種類によって異なります。内服薬（トラネキサム酸・シナールなど）の処方継続は予約不要でお受けいただけます。診療カレンダーにて可能日をご確認のうえご来院ください。それ以外の再診については予約が必要な場合がありますので、ご不明な場合はお電話にてご確認ください。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）
faq,初めての受診の場合、マイページのIDは自分で設定しますか／初診のWEB予約のIDはどうすればいいですか,WEB予約サイトで初めてご予約される際に、ご自身でIDとパスワードを設定していただきます。ご不明な点はお電話にてご確認ください。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）
faq,眉のアートメイクはありますか/眉タトゥーはありますか,"アートメイクは眉・アイライン・リップ・ヘアライン（女性のみ）の施術を行っています。料金は各部位59,000円（税込）となります。完全予約制でお電話にてご予約を承っております。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）詳しくはこちらからご確認いただけます → https://www.adeb.com/service/artmake/?utm_source=ai&utm_medium=sugudesk"
faq,ほくろのレーザー除去は1回に何個まで取れますか,ほくろレーザーの1回あたりの施術個数については、状態や予約状況によって異なります。詳しくはお電話にてご確認ください。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）
faq,口の上のボトックスはいくらですか／口周りのボトックス料金を教えてください,"口の上のボトックスはアラガンボトックス1ポイント3,700円、ボツリヌストキシン1ポイント2,500円（税込）となります。必要なポイント数は医師の診察時に決まります。なお口の上のボトックスは電話予約制となっております。お電話：050-8882-5880（月〜水・金〜日 9:00〜13:00／14:00〜17:45、木曜休診）"
