優先度,カテゴリ,アクション,対象FAQ,詳細
P1,価格矛盾(即修正),"349,200円→343,200円に置換",HARG療法の料金を教えてください。/ハーグ療法の料金を教えてください。,"HARG6回セット。90,200×6−198,000=343,200が正"
P1,価格矛盾(即修正),"6,500→7,000/13,000→13,500/19,500→19,800に置換",イボレーザー治療の料金を教えてください。/炭酸ガスレーザーはいくらですか？,イボレーザー旧価格。JSON/他FAQは新価格
P1,価格矛盾(即修正),"6,500→7,000/13,000→13,500/19,500→19,800に置換",目元のイボの料金はいくらですか？,イボレーザー旧価格。JSON/他FAQは新価格
P1,価格矛盾(即修正),"349,200円→343,200円に置換",薄毛治療の料金を教えてください。,"HARG6回セット。90,200×6−198,000=343,200が正"
P1,価格矛盾(即修正),"6,500→7,000/13,000→13,500/19,500→19,800に置換",体のイボ取り料金はいくらですか／背中のイボ1つを取りたい場合の料金は,イボレーザー旧価格。JSON/他FAQは新価格
P1,電話番号(要受付確認),予約番号 5880→5800に統一,バニーラインのボトックスを予約したい／あごのボトックスを予約したい／口の上のボトックスを予約したい／口角下制筋のボトックスを予約したい,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,Lマドンナはどうやって予約すればいいですか／Lマドンナの予約方法を教えてください,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,アートメイクの予約方法を教えてください／アートメイクは空いていますか／アートメイクの空き状況を知りたい/眉タトゥーの予約,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,そばかす・シミのカウンセリングを受けたいのですが／シミの相談だけでも来院できますか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,ほくろの診察と治療は同日にできますか／ほくろを診てもらってそのまま取ってもらえますか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,ほくろの診察と治療を別の日にすることはできますか／診察だけ先にしてもらえますか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,以前受診して薬を処方されました。次回は予約なしで大丈夫ですか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,初めての受診の場合、マイページのIDは自分で設定しますか／初診のWEB予約のIDはどうすればいいですか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,眉のアートメイクはありますか/眉タトゥーはありますか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,ほくろのレーザー除去は1回に何個まで取れますか,予約専用は5800
P1,電話番号(要受付確認),予約番号 5880→5800に統一,口の上のボトックスはいくらですか／口周りのボトックス料金を教えてください,予約専用は5800
P2,JSON価格欠落→master追加,"HARG療法 1回90,200/6回343,200 を登録",HARG療法の料金を教えてください。/ハーグ療法の料金を教えてください。,該当FAQ 3件
P2,JSON価格欠落→master追加,メンズ薄毛治療プラン3種を登録(新料金確認),メンズ薄毛治療プランの料金を教えてください。,該当FAQ 1件
P2,JSON価格欠落→master追加,レディース薄毛治療プラン3種を登録(新料金確認),レディース薄毛治療プランの料金を教えてください。,該当FAQ 1件
P2,JSON価格欠落→master追加,粉瘤手術(保険)概算を登録,粉瘤手術は保険適用になりますか？,該当FAQ 3件
P2,JSON価格欠落→master追加,"男性(メンズ)脱毛の料金を登録(全身289,800/ヒゲ/パーツ)",男性の医療脱毛の料金はいくらですか？,該当FAQ 7件
P2,二重登録の一本化,JSON回答に統一しFAQ重複(4件)を非公開化,事前予約は必要ですか,JSON=電話要否で二分 vs FAQ=完全予約制
P2,二重登録の一本化,一般決済と会員コースのQを分離,支払い方法を教えてください,会員コース(月額前払/口座引落)の別Qが混在
P3,JSON補完(任意),"MOFU23 定期購入7,920円 をmasterに反映",MOFU23とはどんな育毛剤ですか？,該当13件
P3,JSON補完(任意),"テノール(初回6,600/1回26,400)をmasterに反映",予約が必要なメニューはどれですか？,該当79件
P3,JSON補完(任意),駐車場 夜間最大500円 をparking情報に追記,駐車料金はいくらですか？,該当1件
P3,運用,キャンペーンFAQ22件の棚卸し担当・頻度を設定,(faq_campaignシート全般),時期依存。ピコCP等の期間価格を含む
