施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
ハイドラジェントル→ハイドラジェントル,ハイドラジェントル,ハイドラジェントル,同部位,2～4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ケミカルピーリング→ハイドラジェントル,ケミカルピーリング,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
スマートサイドドットレーザー（2回目以降）→ハイドラジェントル,スマートサイドドットレーザー（2回目以降）,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
スマートサイドドットレーザー（初回）→ハイドラジェントル,スマートサイドドットレーザー（初回）,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
イボレーザー（炭酸ガス／CO2レーザー）→ハイドラジェントル,イボレーザー（炭酸ガス／CO2レーザー）,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
シミ取りレーザー→ハイドラジェントル,シミ取りレーザー,ハイドラジェントル,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ADM治療（ピコレーザー）→ハイドラジェントル,ADM治療（ピコレーザー）,ハイドラジェントル,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ADM治療（ナノレーザー・メドライトC6）→ハイドラジェントル,ADM治療（ナノレーザー・メドライトC6）,ハイドラジェントル,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
レーザートーニング→ハイドラジェントル,レーザートーニング,ハイドラジェントル,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ピコトーニング→ハイドラジェントル,ピコトーニング,ハイドラジェントル,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
ピコフラクショナル（1064nm）→ハイドラジェントル,ピコフラクショナル（1064nm）,ハイドラジェントル,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄
