sheet,category,question,answer,amounts
faq,施術・治療案内,シミの美容相談ではどんな特典がありますか？,"シミのお悩みで無料美容相談を受けた後に、シミ治療を受けられた方にはクレンジング1本（2,800円相当）をプレゼントいたします。ぜひこの機会に無料美容相談をご利用ください。美容相談の予約はWEB予約サイト、LINE、またはお電話（050-8882-5800）で承っています。 ・ WEB予約 こちらからご予約ください （（https://www.adeb.com/yoyaku/?utm_source=ai&utm_medium=sugudesk） ・ LINE予約 こちらからご予約ください （（https://page.line.me/epg9453r）） ・お電話 📞 050-8882-5800 ※電話受付時間：月～水・金～日曜日／9:00～13:00、14:00～17:45（木曜日休診）",2800
faq,施術・治療案内,シミ治療を受けるとどんなプレゼントがありますか？,"シミに関する無料美容相談を受けた後に、シミ治療を受けられた方にはクレンジング1本（2,800円相当）をプレゼントしております。プレゼントは以下の対象施術を受けた方が対象です。",2800
faq,予約・受付,当日キャンセルをした場合、キャンセル料はかかりますか？,"当日キャンセル・当日予約変更（無断キャンセル含む）の場合、キャンセル料が発生します。【キャンセル料】1回 3,300円【対象メニュー】トーニング / フォトフェイシャル / サーマクール /ハイドラジェントル / ミラドライ / ダーマペン / ヴェルヴェットスキン / クールシェーピング（新規受付終了）※2回目以降の施術が対象（ミラドライ・サーマクールは初回から）※回数チケットご利用の方は1回分消化ではなく、キャンセル料をお支払いいただきます。※前日までの変更・キャンセルの場合はキャンセル料はかかりません。",3300
faq,施術・治療案内,キャンセル料の対象になる施術を教えてください。,"当日キャンセルや当日予約変更のキャンセル料（3,300円）が発生する対象施術は以下の通りです。・トーニング・フォトフェイシャル・サーマクール・ハイドラジェントル・ミラドライ・ダーマペン・ヴェルヴェットスキン・クールシェーピング（新規受付終了）。",3300
faq,予約・受付,チケットコース利用時にキャンセルした場合はどうなりますか？,"回数チケットをご利用の方が当日キャンセルされた場合、1回分消化扱いではなくキャンセル料（3,300円）をお支払いいただきます。前日までのキャンセル・変更であればキャンセル料は発生しません。",3300
faq,予約・受付,トーニングをキャンセルしたいです,"トーニングのキャンセル・予約変更は、前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※2回目以降の施術が対象です。※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,フォトフェイシャルをキャンセルしたいです,"フォトフェイシャルのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,サーマクールをキャンセルしたいです,"サーマクールのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※サーマクールは初回施術からキャンセル料の対象です。※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,ハイドラジェントルをキャンセルしたいです,"ハイドラジェントルのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,ミラドライをキャンセルしたいです,"ミラドライのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※ミラドライは初回施術からキャンセル料の対象です。※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,ダーマペンをキャンセルしたいです,"ダーマペンのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,ヴェルヴェットスキンをキャンセルしたいです,"ヴェルヴェットスキンのキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※チャットやメールでのキャンセルは承っておりません。",3300
faq,予約・受付,クールシェーピングをキャンセルしたいです,"クールシェーピング（新規受付終了）のキャンセル・予約変更は前日までにお願いいたします。当日のキャンセルや予約変更（無断キャンセルを含む）の場合、キャンセル料3,300円が発生します。・WEB予約の場合：前日23:59までにマイページからキャンセル可能です。・電話予約の場合：前日の電話受付時間内までにお電話（050-8882-5800）にてご連絡ください。（前日が休診日の場合は前々日まで）※現在、新規のご予約は承っておりません。※チャットやメールでのキャンセルは承っておりません。",3300
