No,専門外来・検査（担当表）,所属科,想定される患者の質問,拾うための登録（前段）,予約型,現状カバー,状態
1,内視鏡検査（胃カメラ・大腸内視鏡）,消化器内科／内視鏡センター,胃カメラ受けたい／大腸カメラは？,診療メニュー（登録済：内視鏡センター処理で作成）,M,△ メニュー案作成済・管理画面未登録,登録要
2,IBD外来,消化器内科,潰瘍性大腸炎・クローン病を診てほしい,お悩み・症状＋メニュー,M,✕ 未登録,穴
3,膵臓・胆道疾患外来,消化器内科,膵臓・胆管の病気を診てほしい,お悩み・症状＋メニュー,M,✕ 未登録,穴
4,不整脈外来,循環器内科,動悸・不整脈を診てほしい／ペースメーカー,お悩み・症状＋メニュー,M,✕ 未登録,穴
5,甲状腺超音波外来,内分泌・糖尿病内科,甲状腺のしこり・エコー,お悩み・症状（既存「甲状腺しこり」あり）＋メニュー,M,△ 一部あり（要点検）,点検要
6,肥満症治療外来,内分泌・糖尿病内科／肥満症センター,痩せたい・肥満症治療,お悩み・症状＋メニュー,M,✕ 未登録,穴
7,透析予防外来,腎臓内科,腎臓が悪いと言われた・透析予防,お悩み・症状＋メニュー,M,✕ 未登録,穴
8,腎代替療法選択外来,腎臓内科,透析・移植の選択相談,メニュー,M,✕ 未登録,穴
9,高血圧専門医外来,腎臓内科,高血圧が下がらない,お悩み・症状＋メニュー,M,✕ 未登録,穴
10,シャント外来,腎臓内科,透析シャントのトラブル,メニュー,M,✕ 未登録,穴
11,小児アレルギー（食物アレルギー）,小児科,子どものアレルギーを診てほしい,お悩み・症状,M,✕ 未登録,穴（本日例示）
12,小児循環器外来,小児科,子どもの心臓の病気,お悩み・症状,M,✕ 未登録,穴
13,小児腎臓外来,小児科,子どもの腎臓の病気,お悩み・症状,M,✕ 未登録,穴
14,セカンドオピニオン外来,腫瘍内科ほか,セカンドオピニオンを受けたい,FAQ＋メニュー,要確認,✕ 未登録,穴
15,レディース外来,乳腺外科・形成・婦人科,女性医師に診てほしい,お悩み・FAQ（女性医師希望）＋メニュー,M,✕ 未登録,穴
16,リンパ浮腫外来,乳腺外科・内分泌外科,術後のむくみ・リンパ浮腫,お悩み・症状＋メニュー,M,✕ 未登録,穴
17,足の外来,循環器内科／血管系,足の血管・むくみ・冷感,お悩み・症状＋メニュー,M,✕ 未登録,穴（所属科要確認）
18,ひざ関節外来,整形外科,膝の痛み・変形性膝関節症,お悩み・症状＋メニュー,M,✕ 未登録,穴
19,骨粗鬆症外来,整形外科,骨粗しょう症・骨密度,お悩み・症状＋メニュー,M,✕ 未登録,穴
20,脊髄・脊椎外来,整形外科,腰・首・脊椎の手術相談,お悩み・症状＋メニュー,M,△ 診療科トップ処理済・専門外来未登録,穴
21,スポーツ外来,整形外科,スポーツのケガ,お悩み・症状＋メニュー,M,△ 診療科トップ処理済・未登録,穴
22,形成外科専門外来,形成外科,傷あと・できもの・美容形成,お悩み・症状＋メニュー,M,△ 診療科トップ処理済・専門外来未登録,穴
23,産科 初診／妊婦健診,産科,妊娠したので受診したい,メニュー（登録済：産科処理）＋お悩み,W,○ 産科処理済,登録要
24,無痛分娩外来,産科,無痛分娩をしたい,メニュー（登録済：産科処理）,W/教室,○ 産科処理済,登録要
25,産褥検診／2週間・1ヶ月健診,産科,産後の健診,メニュー（登録済：産科処理）,M,○ 産科処理済,登録要
26,NIPT外来,産婦人科,出生前診断を受けたい,メニュー（登録済：NIPT処理）,予約制,○ 処理済,登録要
27,人間ドック・検診,メディカルサポートセンター,人間ドックを受けたい,メニュー＋FAQ,T,✕ 未処理,穴（センター未処理）
